timestamp,position_lat,position_long,distance,altitude,speed,heart_rate,cadence,fractional_cadence
1039130328,587912850,-1466351540,151.61,390.20000000000005,0.709,147,0,0
1039130329,587912832,-1466351536,151.62,390.20000000000005,0.709,147,0,0
1039130330,587912809,-1466351517,151.8,390.20000000000005,0,147,0,0
1039130331,587912796,-1466351500,151.95,390.4,0,147,0,0
1039130332,587912734,-1466351530,152.42,390.4,0,147,0,0
1039130333,587912704,-1466351536,152.69,390,0,147,0,0
1039130334,587912678,-1466351543,152.94,390.20000000000005,0,147,0,0
1039130335,587912586,-1466351522,153.68,389.79999999999995,0,146,0,0
1039130336,587912537,-1466351526,154.13,389.79999999999995,0,145,0,0
1039130337,587912486,-1466351539,154.62,389.6,0,145,0,0
1039130338,587912409,-1466351562,155.33,389.79999999999995,0,145,0,0
1039130339,587912371,-1466351588,155.7,389.6,0,145,0,0
1039130340,587912353,-1466351609,155.88,389.6,0,146,0,0
1039130341,587912347,-1466351626,155.96,389.6,0,146,0,0
1039130342,587912365,-1466351609,155.96,389.6,0,146,0,0
1039130343,587912405,-1466351647,155.96,389.4,0,146,0,0
1039130344,587912434,-1466351632,155.96,389.4,0,145,0,0
1039130345,587912475,-1466351646,155.96,389.6,0,145,0,0
1039130346,587912492,-1466351638,155.96,389.20000000000005,0,145,0,0
1039130347,587912505,-1466351655,155.96,389.4,0,144,0,0
1039130348,587912528,-1466351665,155.96,389.20000000000005,0,144,0,0
1039130349,587912553,-1466351652,155.96,389.4,0,143,0,0
1039130350,587912583,-1466351608,156.33,389.4,0,143,0,0
1039130351,587912594,-1466351497,157.01,389.4,0,142,0,0
1039130352,587912571,-1466351343,157.95,389.4,0,140,0,0
1039130353,587912552,-1466351227,158.68,389.4,0,139,0,0
1039130354,587912503,-1466351162,159.19,389.4,0,139,0,0
1039130355,587912464,-1466351119,159.61,389.4,0,138,0,0
1039130356,587912465,-1466351097,159.72,389.4,0,138,0,0
1039130357,587912365,-1466351057,160.61,389.4,0,137,0,0
1039130358,587912307,-1466351048,161.12,389.4,0,137,0,0
1039130359,587912270,-1466351084,161.37,389.4,0,137,0,0
1039130360,587912234,-1466351131,161.68,389.4,0,136,0,0
1039130361,587912202,-1466351153,161.97,389.4,0,136,0,0
1039130362,587912177,-1466351253,162.3,389.4,0,135,0,0
1039130363,587912224,-1466351325,162.3,389.4,0,135,0,0
1039130364,587912280,-1466351447,163.2,389.4,0,134,0,0
1039130365,587912261,-1466351461,163.2,389.4,0,133,0,0
1039130366,587912242,-1466351426,163.2,389.4,0,134,0,0
1039130367,587912244,-1466351253,163.72,389.4,0,135,0,0
1039130368,587912306,-1466351119,164.72,389.4,0,133,0,0
1039130369,587912291,-1466351030,165.09,389.4,0,132,0,0
1039130370,587912282,-1466350907,165.38,389.6,0,131,0,0
1039130371,587912325,-1466350868,165.65,389.6,0,130,0,0
1039130372,587912328,-1466350846,165.7,389.4,0,128,0,0
1039130373,587912317,-1466350814,165.88,389.20000000000005,0,127,0,0
1039130374,587912386,-1466350662,166.06,389.4,0,126,0,0
1039130375,587912399,-1466350542,166.24,389.6,0,125,0,0
1039130376,587912420,-1466350388,166.42,389.6,0,125,0,0
1039130377,587912404,-1466350328,166.62,389.20000000000005,0,124,0,0
1039130378,587912416,-1466350220,166.62,389.20000000000005,0,123,0,0
1039130379,587912395,-1466350194,166.85,389.4,0,123,0,0
1039130380,587912389,-1466350162,166.95,389.20000000000005,0,122,0,0
1039130381,587912327,-1466350136,167.53,389.4,0,122,0,0
1039130382,587912317,-1466350145,167.6,389.20000000000005,0,122,0,0
1039130383,587912286,-1466350126,167.9,389.4,0,122,0,0
1039130384,587912292,-1466350114,167.9,389.4,0,121,0,0
1039130385,587912278,-1466350138,168.06,389.4,0,121,0,0
1039130386,587912304,-1466350159,168.06,389.4,0,120,0,0
1039130387,587912368,-1466350166,168.06,389.4,0,119,0,0
1039130388,587912460,-1466350248,168.44,389.4,0,119,0,0
1039130389,587912456,-1466350284,168.56,389.4,0,118,0,0
1039130390,587912420,-1466350236,168.99,389.4,0,118,0,0
1039130391,587912492,-1466350188,169.53,389.4,0,118,0,0
1039130392,587912565,-1466350039,170.66,389.4,0,117,0,0
1039130393,587912674,-1466349771,172.58,389.4,0,117,74,0.5
1039130394,587912850,-1466349285,175.96,389.4,1.269,118,74,0.5
1039130395,587912999,-1466348760,179.45,389.4,1.269,118,82,0.5
1039130396,587913085,-1466348214,182.86,389.4,1.913,121,82,0.5
1039130397,587913155,-1466347679,186.19,389.20000000000005,2.986,122,85,0
1039130398,587913132,-1466347152,189.4,389.20000000000005,2.921,122,85,0
1039130399,587913084,-1466346595,192.8,389.20000000000005,2.921,123,85,0
1039130400,587912988,-1466346018,196.43,389.20000000000005,3.023,123,84,0.5
1039130401,587912912,-1466345388,200.33,389.20000000000005,3.023,123,84,0.5
1039130402,587912894,-1466344808,203.87,389,3.135,124,84,0.5
1039130403,587912855,-1466344231,207.4,388.79999999999995,3.238,124,85,0
1039130404,587912878,-1466343673,210.79,388.6,3.238,125,85,0
1039130405,587912816,-1466343112,214.26,388.4,3.098,126,86,0
